Title,RVH Main Entrance to Georgian College,RVH Main Entrance to Georgian College,RVH Main Entrance to Georgian College,RVH Main Entrance to Georgian College,RVH Main Entrance to Georgian College,RVH Main Entrance to Georgian College,RVH Main Entrance to Georgian College,RVH Main Entrance to Georgian College,RVH Main Entrance to Georgian College,RVH Main Entrance to Georgian College,RVH Main Entrance to Georgian College,RVH Main Entrance to Georgian College,RVH Main Entrance to Georgian College,RVH Main Entrance to Georgian College,RVH Main Entrance to Georgian College,RVH Main Entrance to Georgian College,RVH Main Entrance to Georgian College,RVH Main Entrance to Georgian College,RVH Main Entrance to Georgian College,RVH Main Entrance to Georgian College,RVH Main Entrance to Georgian College,RVH Main Entrance to Georgian College,RVH Main Entrance to Georgian College,RVH Main Entrance to Georgian College
Half-Hour,06:30 - 06:59,07:00 - 07:29,07:30 - 07:59,08:00 - 08:29,08:30 - 08:59,09:00 - 09:29,09:30 - 09:59,10:00 - 10:29,10:30 - 10:59,11:00 - 11:29,11:30 - 11:59,12:00 - 12:29,12:30 - 12:59,13:00 - 13:29,13:30 - 13:59,14:00 - 14:29,14:30 - 14:59,15:00 - 15:29,15:30 - 15:59,16:00 - 16:29,16:30 - 16:59,17:00 - 17:29,17:30 - 17:59,18:00 - 18:29
400 S Observed Runtime-25%,2.68,3.05,2.78,2.9,2.66,2.6,2.53,2.85,2.53,2.62,2.56,2.84,2.73,2.45,2.84,2.53,2.58,2.67,2.68,2.6,2.68,2.45,2.49,2.48
400 S Observed Runtime-50%,3.3,3.33,3.02,3.22,3.12,3.08,3.12,3.08,2.8,2.88,2.93,3.02,3.18,2.8,3.15,2.95,3.07,2.97,3.24,2.9,2.98,2.7,2.93,2.67
400 S Observed Runtime-80%,3.82,3.55,5.4,6.22,6.77,7.23,4.4,4.4,7.52,4.43,6.28,7.05,7.32,6,7.1,6.43,7.97,7.07,7.72,7.57,6.88,6.78,7.68,2.97
400 S Observed Runtime-90%,4.15,4.04,6.42,7.08,7.97,7.85,4.81,4.78,8.18,4.87,7.13,7.72,9.13,7.33,7.12,7.82,8.83,7.83,8.17,8.07,8.05,7.9,8.67,3.02
400 S Scheduled Runtime-10%,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
400 S Scheduled Runtime-50%,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
400 S Scheduled Runtime-90%,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Title,Georgian College to Bayfield at Highway 400,Georgian College to Bayfield at Highway 400,Georgian College to Bayfield at Highway 400,Georgian College to Bayfield at Highway 400,Georgian College to Bayfield at Highway 400,Georgian College to Bayfield at Highway 400,Georgian College to Bayfield at Highway 400,Georgian College to Bayfield at Highway 400,Georgian College to Bayfield at Highway 400,Georgian College to Bayfield at Highway 400,Georgian College to Bayfield at Highway 400,Georgian College to Bayfield at Highway 400,Georgian College to Bayfield at Highway 400,Georgian College to Bayfield at Highway 400,Georgian College to Bayfield at Highway 400,Georgian College to Bayfield at Highway 400,Georgian College to Bayfield at Highway 400,Georgian College to Bayfield at Highway 400,Georgian College to Bayfield at Highway 400,Georgian College to Bayfield at Highway 400,Georgian College to Bayfield at Highway 400,Georgian College to Bayfield at Highway 400,Georgian College to Bayfield at Highway 400,Georgian College to Bayfield at Highway 400
Half-Hour,06:30 - 06:59,07:00 - 07:29,07:30 - 07:59,08:00 - 08:29,08:30 - 08:59,09:00 - 09:29,09:30 - 09:59,10:00 - 10:29,10:30 - 10:59,11:00 - 11:29,11:30 - 11:59,12:00 - 12:29,12:30 - 12:59,13:00 - 13:29,13:30 - 13:59,14:00 - 14:29,14:30 - 14:59,15:00 - 15:29,15:30 - 15:59,16:00 - 16:29,16:30 - 16:59,17:00 - 17:29,17:30 - 17:59,18:00 - 18:29
400 S Observed Runtime-25%,2.37,4.82,3.04,0.25,0.1,0.11,0.21,0.13,2.71,5.08,4.47,5.29,0.13,5.05,2.59,0.32,2.43,0.17,1.45,0.2,0.23,3.37,0.08,5.28
400 S Observed Runtime-50%,6.03,6.15,5.28,6.2,5.15,5.57,5.33,5.75,5.87,6,6.15,6.27,6.1,5.77,6.05,5.72,5.53,5.2,6.48,5.35,6.07,6.95,5.17,5.97
400 S Observed Runtime-80%,6.62,6.65,6.28,6.78,6.78,7.28,6.72,7.08,6.6,6.32,7.08,7.68,7.6,6.48,7.42,7.85,7.35,7.22,9.48,7.28,8.75,8.12,6.88,6.85
400 S Observed Runtime-90%,6.82,6.88,7.27,7.6,7.57,8.23,7.7,7.87,7.15,7.25,7.48,7.93,8.8,7.6,7.58,8.05,7.82,8.33,10.37,8.2,9.18,9.73,7.1,7.17
400 S Scheduled Runtime-10%,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
400 S Scheduled Runtime-50%,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
400 S Scheduled Runtime-90%,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
