date,users,sessions,downloads
2025-01-01,137,347,4
2025-01-02,608,2415,30
2025-01-03,610,2737,32
2025-01-04,490,2037,25
2025-01-05,534,1996,21
2025-01-06,773,3342,35
2025-01-07,811,3993,37
2025-01-08,735,3370,26
2025-01-09,756,3345,25
2025-01-10,736,3385,24
2025-01-11,484,2203,13
2025-01-12,457,1795,13
2025-01-13,773,3241,26
2025-01-14,757,3316,15
2025-01-15,742,3144,23
2025-01-16,754,3407,24
2025-01-17,750,3301,29
2025-01-18,503,2071,13
2025-01-19,462,2000,14
2025-01-20,720,3211,24
2025-01-21,684,2952,20
2025-01-22,685,3164,18
2025-01-23,753,3402,17
2025-01-24,747,3458,22
2025-01-25,496,1916,15
2025-01-26,424,1651,20
2025-01-27,690,3115,16
2025-01-28,740,3523,25
2025-01-29,718,3037,19
2025-01-30,749,3295,25
2025-01-31,734,3479,17
2025-07-01,569,2563,22
2025-07-02,726,3452,15
2025-07-03,713,3278,18
2025-07-04,711,3457,15
2025-07-05,575,2556,18
2025-07-06,511,2069,9
2025-07-07,690,3445,20
2025-07-08,683,3347,18
2025-07-09,693,3345,16
2025-07-10,719,3512,24
2025-07-11,711,3177,14
2025-07-12,588,2754,19
2025-07-13,532,2254,13
2025-07-14,688,3373,20
2025-07-15,702,3480,19
2025-07-16,702,3448,15
2025-07-17,713,3186,14
2025-07-18,706,3204,21
2025-07-19,584,2735,14
2025-07-20,541,2198,16
2025-07-21,642,3014,14
2025-07-22,668,3661,17
2025-07-23,696,3425,15
2025-07-24,689,3371,8
2025-07-25,712,3443,17
2025-07-26,571,2666,10
2025-07-27,515,2200,14
2025-07-28,677,3121,14
2025-07-29,688,3370,16
2025-07-30,657,3226,16
2025-07-31,694,3192,20
2025-09-01,578,1985,40
2025-09-02,864,4246,49
2025-09-03,800,4066,26
2025-09-04,810,3897,25
2025-09-05,766,3758,29
2025-09-06,573,2776,20
2025-09-07,536,2339,17
2025-09-08,820,4162,32
2025-09-09,843,4271,23
2025-09-10,809,3855,42
2025-09-11,872,4612,33
2025-09-12,827,4038,28
2025-09-13,576,2640,20
2025-09-14,551,2323,15
2025-09-15,798,4033,21
2025-09-16,806,4010,26
2025-09-17,803,3744,17
2025-09-18,759,3756,26
2025-09-19,797,4283,15
2025-09-20,565,2707,12
2025-09-21,594,2643,22
2025-09-22,850,4125,24
2025-09-23,849,4053,20
2025-09-24,839,3851,32
2025-09-25,817,4033,17
2025-09-26,805,3938,19
2025-09-27,566,2668,16
2025-09-28,527,2235,17
2025-09-29,753,3604,20
2025-09-30,765,3607,12
