trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled,stop_headsign,pickup_type,drop_off_type,timepoint
502:15020:19512,07:30:00,07:30:00,129,1,0,,0,0,1
502:15020:19512,07:41:00,07:41:00,410,2,12535,,3,3,1
502:15020:19512,08:02:00,08:02:00,400,3,45088,,0,0,1
502:15020:19512,08:08:00,08:08:00,100,4,53690,,3,3,1
502:15020:19512,08:17:00,08:17:00,101,5,67853,,0,0,1
502:15020:19512,08:29:00,08:29:00,102,6,86218,,0,0,1
502:15020:19512,08:55:00,08:55:00,119,7,123882,,0,0,1
502:15020:19512,09:10:00,09:10:00,205,8,131979,,0,0,1
302:13220:21339,20:15:00,20:15:00,185,1,0,,0,0,1
302:13220:21339,20:25:00,20:25:00,187,2,9122,,0,0,1
302:13220:21339,20:26:00,20:26:00,186,3,10058,,0,0,1
302:13220:21339,20:37:00,20:37:00,184,4,24720,,3,3,1
302:13220:21339,20:41:00,20:41:00,117,5,30112,,3,3,1
302:13220:21339,20:45:00,20:45:00,182,6,37346,,3,3,1
302:13220:21339,20:55:00,20:55:00,181,7,53119,,3,3,1
302:13220:21339,21:10:00,21:10:00,180,8,69856,,0,0,1
302:13420:21341,22:45:00,22:45:00,192,1,0,,0,0,1
302:13420:21341,23:01:00,23:01:00,193,2,29898,,1,1,0
302:13420:21341,23:55:00,23:55:00,217,3,105410,,0,0,1
302:13420:21341,24:05:00,24:05:00,185,4,108461,,0,0,1
501:15050:21351,13:45:00,13:45:00,205,1,0,,0,0,1
501:15050:21351,13:50:00,13:50:00,215,2,7259,,0,0,1
501:15050:21351,14:20:00,14:20:00,102,3,41392,,0,0,1
501:15050:21351,14:30:00,14:30:00,101,4,59795,,0,0,1
501:15050:21351,14:40:00,14:40:00,100,5,73981,,3,3,1
501:15050:21351,14:50:00,14:50:00,400,6,82506,,0,0,1
501:15050:21351,15:05:00,15:05:00,410,7,115019,,3,3,1
501:15050:21351,15:20:00,15:20:00,129,8,127215,,0,0,1
301:13210:21359,10:30:00,10:30:00,180,1,0,,0,0,1
301:13210:21359,10:40:00,10:40:00,181,2,16800,,3,3,1
301:13210:21359,10:50:00,10:50:00,182,3,32752,,3,3,1
301:13210:21359,10:55:00,10:55:00,117,4,40030,,3,3,1
301:13210:21359,11:00:00,11:00:00,184,5,45495,,3,3,1
301:13210:21359,11:05:00,11:05:00,186,6,60318,,0,0,1
301:13210:21359,11:10:00,11:10:00,187,7,61268,,0,0,1
301:13210:21359,11:15:00,11:15:00,217,8,70531,,0,0,1
301:13210:21359,11:20:00,11:20:00,185,9,73582,,0,0,1
301:13430:21363,07:15:00,07:15:00,185,1,0,,0,0,1
301:13430:21363,07:20:00,07:20:00,217,2,2494,,0,0,1
301:13430:21363,08:35:00,08:35:00,192,3,107594,,0,0,1
502:15040:21369,14:00:00,14:00:00,129,1,0,,0,0,1
502:15040:21369,14:10:00,14:10:00,410,2,12535,,3,3,1
502:15040:21369,14:35:00,14:35:00,400,3,45088,,0,0,1
502:15040:21369,14:40:00,14:40:00,100,4,53690,,3,3,1
502:15040:21369,14:45:00,14:45:00,101,5,67853,,0,0,1
502:15040:21369,15:05:00,15:05:00,102,6,86218,,0,0,1
502:15040:21369,15:20:00,15:20:00,215,7,120640,,0,0,1
502:15040:21369,15:35:00,15:35:00,205,8,127612,,0,0,1
302:13040:21377,09:30:00,09:30:00,185,1,0,,0,0,1
302:13040:21377,09:40:00,09:40:00,187,2,9122,,0,0,1
302:13040:21377,09:41:00,09:41:00,186,3,10058,,0,0,1
302:13040:21377,09:52:00,09:52:00,184,4,24720,,3,3,1
302:13040:21377,09:56:00,09:56:00,117,5,30112,,3,3,1
302:13040:21377,10:01:00,10:01:00,182,6,37346,,3,3,1
302:13040:21377,10:11:00,10:11:00,181,7,53119,,3,3,1
302:13040:21377,10:22:00,10:30:00,180,8,69856,,0,0,1
302:13040:21377,10:45:00,10:45:00,179,9,86147,,0,0,1
302:13040:21377,10:55:00,10:55:00,178,10,99153,,3,3,1
302:13040:21377,11:08:00,11:08:00,237,11,114429,,3,3,1
302:13040:21377,11:13:00,11:13:00,238,12,128189,,3,3,1
302:13040:21377,11:18:00,11:18:00,175,13,136048,,3,3,1
302:13040:21377,11:23:00,11:43:00,174,14,142700,,0,0,1
302:13040:21377,11:53:00,11:53:00,173,15,154768,,3,3,1
302:13040:21377,12:13:00,12:13:00,218,16,187501,,0,0,1
302:13040:21377,12:14:00,12:14:00,172,17,188884,,0,0,1
302:13040:21377,12:29:00,12:29:00,171,18,203067,,0,0,1
302:13040:21377,12:34:00,12:34:00,170,19,211398,,3,3,1
302:13040:21377,12:55:00,12:55:00,169,20,232508,,0,0,1
302:13040:21377,13:06:00,13:06:00,216,21,236666,,0,0,1
302:13040:21377,13:21:00,13:21:00,168,22,249779,,0,0,1
302:13040:21377,13:31:00,13:31:00,167,23,257171,,0,0,1
302:13040:21377,13:34:00,13:34:00,166,24,261344,,3,3,1
302:13040:21377,13:42:00,13:42:00,165,25,270865,,0,0,1
302:13040:21377,14:07:00,14:07:00,164,26,304703,,0,0,1
302:13040:21377,14:37:00,14:37:00,163,27,345841,,0,0,1
302:13040:21377,14:50:00,14:50:00,162,28,367737,,3,3,1
302:13040:21377,15:15:00,15:15:00,119,29,401528,,0,0,1
302:13040:21377,15:16:00,15:16:00,161,30,403531,,0,0,1
302:13040:21377,15:28:00,15:28:00,205,31,409930,,0,0,1
401:14010:21383,22:30:00,22:30:00,185,1,0,,0,0,1
401:14010:21383,22:35:00,22:35:00,217,2,2494,,0,0,1
401:14010:21383,23:43:00,23:50:00,192,3,107594,,0,0,1
401:14010:21383,24:30:00,24:30:00,194,4,166373,,0,0,1
401:14010:21383,24:45:00,24:45:00,195,5,184467,,3,3,1
401:14010:21383,24:55:00,24:55:00,196,6,197169,,3,3,1
401:14010:21383,25:03:00,25:03:00,197,7,207559,,0,0,1
401:14010:21383,25:38:00,25:38:00,198,8,229361,,0,0,1
401:14010:21383,25:48:00,25:48:00,220,9,239361,,3,3,1
401:14010:21383,25:56:00,25:56:00,200,10,250506,,3,3,1
401:14010:21383,26:06:00,26:06:00,201,11,265459,,3,3,1
401:14010:21383,26:26:00,26:26:00,202,12,296255,,3,3,1
401:14010:21383,26:33:00,26:33:00,203,13,307150,,3,3,1
