route_id,service_id,trip_id,trip_headsign,shape_id
502,19512,502:15020:19512,NORTH BAY,837
302,21339,302:13220:21339,MATHESON,924
302,21341,302:13420:21341,TIMMINS,916
501,21351,501:15050:21351,SUDBURY,897
301,21359,301:13210:21359,TIMMINS,908
301,21363,301:13430:21363,COCHRANE,930
502,21369,502:15040:21369,NORTH BAY,921
302,21377,302:13040:21377,NORTH BAY,933
401,21383,401:14010:21383,HEARST,917
302,21398,302:13060:21398,NORTH BAY,922
501,21402,501:15030:21402,SUDBURY,904
502,21816,502:15061:21816,OTTAWA,940
301,22053,301:13050:22053,COCHRANE,926
401,22055,401:14110:22055,TIMMINS,954
301,22056,301:13010:22056,TIMMINS,920
301,22060,301:13070:22060,MATHESON,955
302,22066,302:13040:22066,NORTH BAY,957
301,22068,301:13070:22068,MATHESON,952
302,22075,302:13040:22075,NORTH BAY,951
401,22084,401:14110:22084,TIMMINS,925
301,22087,301:13070:22087,MATHESON,906
501,22127,501:15070:22127,SUDBURY,936
502,22128,502:15060:22128,OTTAWA,945
402,22138,402:14120:22138,SUDBURY,915
402,22139,402:14120:22139,SUDBURY,953
201,23207,201:12230:23207,SUDBURY,961
101,23230,101:11830:23230,NORTH BAY,978
102,23233,102:11900:23233,TORONTO,970
95,23238,95:421:23238,MOOSONEE,980
202,23240,202:12320:23240,TORONTO,962
101,23241,101:11990:23241,NORTH BAY,974
102,23242,102:11380:23242,YORKDALE,979
96,23244,96:622:23244,COCHRANE,977
604,24024,604:16340:24024,THUNDER BAY,984
604,24026,604:16360:24026,THUNDER BAY,983
603,24287,603:16370:24287,WINNIPEG,985
603,24288,603:16350:24288,WINNIPEG,982
102,24293,102:11220:24293,YORKDALE,991
201,24294,201:12490:24294,SUDBURY,967
101,24295,101:11311:24295,NORTH BAY,990
101,24297,101:11310:24297,NORTH BAY,988
102,24303,102:11220:24303,YORKDALE,993
202,24305,202:12160:24305,YORKDALE,964
101,24310,101:11110:24310,NORTH BAY,996
202,24312,202:12340:24312,YORKDALE,960
201,24316,201:12190:24316,SUDBURY,963
101,24324,101:11310:24324,NORTH BAY,989
101,24330,101:11110:24330,NORTH BAY,995
102,24331,102:11420:24331,TORONTO,992
102,24332,102:11420:24332,TORONTO,994
602,24519,602:16240:24519,SAULT STE MARIE,999
601,24520,601:16250:24520,THUNDER BAY,997
504,24521,504:15000:24521,SUDBURY,1001
504,24523,504:15000:24523,SUDBURY,1000
503,24525,503:15010:24525,SAULT STE MARIE,998
402,24554,402:14040:24554,TIMMINS,1002
101,24559,101:11312:24559,NORTH BAY,990
