route_id,service_id,trip_id,shape_id,trip_headsign,direction_id,block_id
8B,a1c1be47-a6f9-4187-8396-05fd20f2b819,86ad621d-f597-4b73-a25f-3259d9e5432e,b83e90f5-110c-423b-8088-1c7af9ae313b,Crosstown/Essa to Georgian College ,0,9f2a36b8-a352-484f-9e52-f8b4b8c9cb2f
400,fcfc42af-1cc2-48e2-a437-c965c0129a04,84fbcbcc-08a4-4a5e-94ab-6551a5c92fda,3c0b7390-5b78-447b-b090-67c953a876c7,EXPRESS  to RVH,0,550411c9-f616-43bf-9a6b-e0ad8ee174fe
11,fcfc42af-1cc2-48e2-a437-c965c0129a04,11661d70-58dd-4277-b63a-6e65a6d22fa2,de78c483-7fab-46e3-af0e-f32f701179ed,NORTH LOOP to Downtown Barrie Terminal,0,689eb928-ff8e-431f-8d3f-416a9fd1f511
7B,a1c1be47-a6f9-4187-8396-05fd20f2b819,b65781dd-5a3d-4e27-a920-38fb14644014,fab38069-58e9-4c29-b586-b7db1aad1118,BEAR CREEK to Park Place,0,b4edd0a7-6d9c-4b05-98cd-67748cd309ed
8B,8e896df6-2496-4d4f-9079-946c6e56c815,37e1085f-90d6-4d1a-840e-668c46ea77fb,37ce28b0-cc30-4e39-8c9b-59a2cf19001d,Crosstown/Essa to Park Place ,1,d47435b3-f3f8-4d43-a8d8-aba91a4e3a1d
101,8e896df6-2496-4d4f-9079-946c6e56c815,0d7ebfc6-5976-490c-9fd0-c1892f789813,16e24061-2912-4417-8b4d-22ef2cf83055,Blue,0,a5a32544-53c1-4db2-b791-41c55e776c02
8B,fcfc42af-1cc2-48e2-a437-c965c0129a04,a60455af-3135-4c93-9208-1ba4ab79db75,37ce28b0-cc30-4e39-8c9b-59a2cf19001d,Crosstown/Essa to Park Place ,1,f2dafbb6-5a41-4015-a970-836f9e38d22b
8B,8e896df6-2496-4d4f-9079-946c6e56c815,5b1c2da1-9c7c-42b1-9aaa-6a041d5ec960,b83e90f5-110c-423b-8088-1c7af9ae313b,Crosstown/Essa to Georgian College ,0,094edf91-7446-4108-aaff-89e94dac7c2e
7B,8e896df6-2496-4d4f-9079-946c6e56c815,fb3dfa81-3e9b-428a-a006-152fe85cd7fd,fab38069-58e9-4c29-b586-b7db1aad1118,BEAR CREEK to Park Place,0,2d5b6860-1d2f-4fff-bb21-9e0606b43988
11,8e896df6-2496-4d4f-9079-946c6e56c815,e4fa01f7-a262-40a9-b364-19e88ee6abd0,de78c483-7fab-46e3-af0e-f32f701179ed,NORTH LOOP to Downtown Barrie Terminal,0,a5b92129-31c1-404e-9d04-38d20c44d146
101,fcfc42af-1cc2-48e2-a437-c965c0129a04,ebeed399-7d6f-4a70-8b4f-3afe1be1fb1b,16e24061-2912-4417-8b4d-22ef2cf83055,Blue,0,76bce03d-c403-4338-b82f-bf5acd708946
8B,fcfc42af-1cc2-48e2-a437-c965c0129a04,83762ab9-5a07-4e7d-8595-4b9086cc4844,e746c9d8-4448-4c6d-9304-539715bb1630,Crosstown/Essa to Park Place ,1,0b9ed5f1-2586-4018-ab02-3e7562abfdf6
8A,8e896df6-2496-4d4f-9079-946c6e56c815,060322ff-094f-4a0f-a2b3-28bbf2a91f3d,2d1629f3-4676-4410-8e77-1b9b3f08216d,RVH/YONGE to Park Place,1,e0209a9d-c1fa-46af-b397-e9b550f18bbc
7A,a1c1be47-a6f9-4187-8396-05fd20f2b819,3e7b8a8b-f0a8-4cde-a380-818bd1e2e747,16856e2e-ee13-4bf5-80ed-e3df337bba43,GROVE to Georgian College,0,1d44eb61-b007-4233-a22f-7df7c0c64d2e
7B,fcfc42af-1cc2-48e2-a437-c965c0129a04,2844e02c-f73b-4217-ba03-2c737fe2cdf9,fab38069-58e9-4c29-b586-b7db1aad1118,BEAR CREEK to Park Place,0,17b46e33-08aa-4b5d-83fa-4874a8d4aac9
12A,8e896df6-2496-4d4f-9079-946c6e56c815,4d127889-3748-4781-813f-1039034344da,e0263110-798e-4af8-a72f-a56bb0e9c48b,GEORGIAN MALL,0,7472b86e-4fe4-4b1d-97c3-23e7f82ca3f7
8B,8e896df6-2496-4d4f-9079-946c6e56c815,77595f72-e9f7-489b-b228-d722948ea626,4e5e5b70-82ba-4a38-b972-63ae4410aecd,Crosstown/Essa to Georgian College ,0,8310d8d0-0c33-4f52-a4be-11449e501319
2A,fcfc42af-1cc2-48e2-a437-c965c0129a04,74260ced-a412-4e4c-9297-039cc101a9cd,88bd2f54-d682-443e-adfb-93b377fa37bb,DUNLOP to Downtown Barrie Terminal,0,302fe5fc-feac-4c1f-b121-027a53441203
12A,fcfc42af-1cc2-48e2-a437-c965c0129a04,7576597c-7524-40b1-9777-107ed952c884,e0263110-798e-4af8-a72f-a56bb0e9c48b,GEORGIAN MALL,0,7ad2aecf-e364-4100-ae3b-466207926b10
8A,a1c1be47-a6f9-4187-8396-05fd20f2b819,0d5c1d59-a1c3-4ac1-8a35-5318032b8255,6f3a7527-cb33-4e34-b391-c26945351e44,RVH/YONGE to Park Place,1,619e98b4-7a87-470c-a521-f1e049ff824a
2A,fcfc42af-1cc2-48e2-a437-c965c0129a04,45785ec9-fc5e-45ad-8552-00e27f13040a,88bd2f54-d682-443e-adfb-93b377fa37bb,DUNLOP to Downtown Barrie Terminal,0,f10a1bdd-514d-4a0e-90d9-a5b756fab0c9
12A,fcfc42af-1cc2-48e2-a437-c965c0129a04,248b8f51-5b03-4e60-8bb9-6a2f5af6e2f9,e0263110-798e-4af8-a72f-a56bb0e9c48b,GEORGIAN MALL,0,2bb7d024-d9f6-4571-b2b2-61f899e27b7e
12B,a1c1be47-a6f9-4187-8396-05fd20f2b819,bcf23d66-ec71-4bfb-af30-1d059ae9b797,7a60c776-ff39-4336-9aec-a4e2d41c8d39,BARRIE SOUTH GO,0,f1bcab58-b585-4e61-a51b-655804ccf066
8A,fcfc42af-1cc2-48e2-a437-c965c0129a04,8ca4525f-87c5-4f0c-a9c1-a32e59618da0,6f3a7527-cb33-4e34-b391-c26945351e44,RVH/YONGE to Park Place,1,bbe9b596-0b1a-43e5-9a0d-a9f6e76df78a
7A,fcfc42af-1cc2-48e2-a437-c965c0129a04,afef010f-b2a9-4f6a-9aa8-56f807e591ec,75cab4f2-879d-43ef-abfb-aa46efd8739c,GROVE to Georgian College,0,ebf353b4-bf74-454b-b253-b15fab25f94f
8B,fcfc42af-1cc2-48e2-a437-c965c0129a04,b7af1ccb-52de-4217-9847-41c19def91e7,18605884-d064-4997-8f13-e35b129b16a0,Crosstown/Essa to Georgian College ,0,39fa4095-4707-43ee-9d2d-91b8b14dc222
2A,a1c1be47-a6f9-4187-8396-05fd20f2b819,6ac78bfd-b7c0-4013-8aaa-cfed563a4476,88bd2f54-d682-443e-adfb-93b377fa37bb,DUNLOP to Downtown Barrie Terminal,0,66c571b8-061e-431a-81d4-45cd2f91cd19
10,fcfc42af-1cc2-48e2-a437-c965c0129a04,08af69ea-7505-43f7-ae03-6d5278282fed,ad2b6efb-c3ff-44f7-8b9e-1166aac33bdd,NORTH LOOP to Downtown Barrie Terminal,0,db9e0dd6-03f6-497e-8ceb-7bcbd4cd8daa
8B,8e896df6-2496-4d4f-9079-946c6e56c815,13d8e8c5-c099-43c0-a42a-1c8c67f504a0,37ce28b0-cc30-4e39-8c9b-59a2cf19001d,Crosstown/Essa to Park Place ,1,88820502-73f9-4ec2-8403-f8c6a10072f0
8A,8e896df6-2496-4d4f-9079-946c6e56c815,07171001-b292-4460-9d74-6c62a3af2ebe,3ad993c4-50eb-4ee1-808e-56be598ca244,RVH/YONGE to Park Place,1,79e2b7f2-0bad-439d-8641-291a301e7606
8A,8e896df6-2496-4d4f-9079-946c6e56c815,741462ad-a7b2-4769-a2e5-9e9704fb131c,16b42189-db36-43d6-ab97-dce81fb10ad8,RVH/YONGE to Georgian College,0,a2604169-5731-4365-826a-222a91ad518b
7B,fcfc42af-1cc2-48e2-a437-c965c0129a04,820a0278-68cc-491d-8b59-a0a6604abd75,fab38069-58e9-4c29-b586-b7db1aad1118,BEAR CREEK to Park Place,0,2296c8ba-419a-4f9d-8a88-8fc49dc662dc
12B,a1c1be47-a6f9-4187-8396-05fd20f2b819,9b1d8dfe-d75a-40e1-8840-01cdbc18aeef,7a60c776-ff39-4336-9aec-a4e2d41c8d39,BARRIE SOUTH GO,0,84aa0ac1-2977-4cb9-8758-5d702767fb76
11,8e896df6-2496-4d4f-9079-946c6e56c815,bf9ddf58-4a7e-44e6-bc9f-a5f0315d495c,de78c483-7fab-46e3-af0e-f32f701179ed,NORTH LOOP to Downtown Barrie Terminal,0,e9e35482-1136-470c-b98a-435736612c39
