route_id,service_id,trip_id,shape_id,trip_headsign,direction_id,block_id
10,e143ad2f-079a-40bc-9584-bcc38f003c82,891deeb8-f1ab-47ae-be02-eb60b039e9b6,bc228c4b-32ad-4ad7-9793-a5af71adaa14,NORTH LOOP to Downtown Barrie Terminal,0,a59fa4d4-9357-4863-bdc9-27650ca1a872
8B,9b8ca608-e9d6-4b70-af36-504135a2886c,60d19b14-a7c7-48f5-a757-dbb34369439a,12fa05dc-aee0-4e65-9bbd-99240d26b698,Crosstown/Essa to Georgian College ,0,ed2b951c-1c74-4054-aa31-11be93d26863
2B,f7362610-9cc6-4990-b05c-5d3dc36f9f00,66e0b3b0-82f8-4198-9bc0-f82f929620bb,f9ec8bda-7546-4662-a658-a8e9c8ad6978,PARK PLACE to Park Place,0,a9fcfccc-d04a-47bd-98a4-f6868ec6b948
101,e143ad2f-079a-40bc-9584-bcc38f003c82,71cdedc8-6385-47d5-8d70-8aa2c3db23b5,dd2785dd-43f9-48a0-8c0f-ccd8f5985096,Blue,0,e6914669-4d34-467e-a842-bc56cac7eb80
8A,9b8ca608-e9d6-4b70-af36-504135a2886c,53cb1a87-0884-4b01-976e-8574e5e6996d,06fbef58-2f7b-4894-a676-5fb8cfa0c633,RVH/YONGE to Park Place,1,ab31ed4c-eb3c-47ba-a53f-0fb3a547aaf8
100,9b8ca608-e9d6-4b70-af36-504135a2886c,e7fb96d2-4d64-498e-8fec-7ca55f4250fb,43a593d1-2077-4815-955c-0c23cab3e490,Red Express  to Downtown Barrie Terminal,0,f661cc31-c62b-486c-91c7-91e9ca328aa1
101,e143ad2f-079a-40bc-9584-bcc38f003c82,96e36642-990a-43ff-9c0b-3b1f8a77ebb9,dd2785dd-43f9-48a0-8c0f-ccd8f5985096,Blue,0,682084aa-97fe-4dd4-90e6-14a01ae1e001
2B,f4b890df-95f4-4de6-9236-6c2c0e207b96,1c35f44b-0002-4fa0-8f51-ec46ee9ca61c,f9ec8bda-7546-4662-a658-a8e9c8ad6978,PARK PLACE to Park Place,0,bbff25f7-da1a-4841-ac1b-4299107052bb
10,9b8ca608-e9d6-4b70-af36-504135a2886c,4f5f77cf-1970-4baf-a085-137778bdfcb5,bc228c4b-32ad-4ad7-9793-a5af71adaa14,NORTH LOOP to Downtown Barrie Terminal,0,c9376351-f842-467a-ae03-a53035f78dea
12A,f4b890df-95f4-4de6-9236-6c2c0e207b96,65449b8f-0632-4082-b8e1-66b972851f61,039665b2-b02e-459b-8a6f-56438cb103df,GEORGIAN MALL,0,4f46428e-65ae-479a-9b49-f5bfa254daea
